candidate_idx,candidate_score,item_id,canonical_id,desired_basis,observed_basis,relation,confidence,item_score
0,0.19888888888888875,s1_e1_qwen_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s1_e1_gpt54mini_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s1_e1_gemini_001,s1_e1,B,A-dominant,conflict-like,high,0.06
0,0.19888888888888875,s1_e4_qwen_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s1_e4_gpt54mini_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s1_e4_gemini_001,s1_e4,B,A-dominant,conflict-like,high,0.06
0,0.19888888888888875,s1_e5_qwen_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s1_e5_gpt54mini_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s1_e5_gemini_001,s1_e5,A,B-dominant,conflict-like,high,0.06
0,0.19888888888888875,s2_e1_qwen_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s2_e1_gpt54mini_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s2_e1_gemini_001,s2_e1,B,A-dominant,conflict-like,high,0.06
0,0.19888888888888875,s2_e2_qwen_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s2_e2_gpt54mini_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s2_e2_gemini_001,s2_e2,B,A-dominant,conflict-like,high,0.06
0,0.19888888888888875,s4_e2_qwen_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s4_e2_gpt54mini_001,s4_e2,A,B-dominant,conflict-like,high,0.06
0,0.19888888888888875,s4_e2_gemini_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s1_g4_qwen_001,s1_g4,A,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,s1_g4_gpt54mini_001,s1_g4,A,B-dominant,conflict-like,high,0.06
0,0.19888888888888875,s1_g4_gemini_001,s1_g4,A,B-dominant,conflict-like,high,0.06
0,0.19888888888888875,e2_g1_qwen_001,e2_g1,A,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,e2_g1_gpt54mini_001,e2_g1,A,B-dominant,conflict-like,high,0.06
0,0.19888888888888875,e2_g1_gemini_001,e2_g1,A,B-dominant,conflict-like,high,0.06
0,0.19888888888888875,g1_h4_qwen_001,g1_h4,B,A-dominant,conflict-like,high,0.06
0,0.19888888888888875,g1_h4_gpt54mini_001,g1_h4,B,Underdetermined,indifference-like,high,0.31
0,0.19888888888888875,g1_h4_gemini_001,g1_h4,B,A-dominant,conflict-like,high,0.06
1,0.19888888888888875,s1_e1_qwen_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s1_e1_gpt54mini_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s1_e1_gemini_001,s1_e1,B,A-dominant,conflict-like,high,0.06
1,0.19888888888888875,s1_e4_qwen_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s1_e4_gpt54mini_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s1_e4_gemini_001,s1_e4,B,A-dominant,conflict-like,high,0.06
1,0.19888888888888875,s1_e5_qwen_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s1_e5_gpt54mini_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s1_e5_gemini_001,s1_e5,A,B-dominant,conflict-like,high,0.06
1,0.19888888888888875,s2_e1_qwen_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s2_e1_gpt54mini_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s2_e1_gemini_001,s2_e1,B,A-dominant,conflict-like,high,0.06
1,0.19888888888888875,s2_e2_qwen_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s2_e2_gpt54mini_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s2_e2_gemini_001,s2_e2,B,A-dominant,conflict-like,high,0.06
1,0.19888888888888875,s4_e2_qwen_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s4_e2_gpt54mini_001,s4_e2,A,B-dominant,conflict-like,high,0.06
1,0.19888888888888875,s4_e2_gemini_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s1_g4_qwen_001,s1_g4,A,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,s1_g4_gpt54mini_001,s1_g4,A,B-dominant,conflict-like,high,0.06
1,0.19888888888888875,s1_g4_gemini_001,s1_g4,A,B-dominant,conflict-like,high,0.06
1,0.19888888888888875,e2_g1_qwen_001,e2_g1,A,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,e2_g1_gpt54mini_001,e2_g1,A,B-dominant,conflict-like,high,0.06
1,0.19888888888888875,e2_g1_gemini_001,e2_g1,A,B-dominant,conflict-like,high,0.06
1,0.19888888888888875,g1_h4_qwen_001,g1_h4,B,A-dominant,conflict-like,high,0.06
1,0.19888888888888875,g1_h4_gpt54mini_001,g1_h4,B,Underdetermined,indifference-like,high,0.31
1,0.19888888888888875,g1_h4_gemini_001,g1_h4,B,A-dominant,conflict-like,high,0.06
2,0.30222222222222217,s1_e1_qwen_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_e1_gpt54mini_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_e1_gemini_001,s1_e1,B,A-dominant,conflict-like,high,0.06
2,0.30222222222222217,s1_e4_qwen_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_e4_gpt54mini_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_e4_gemini_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_e5_qwen_001,s1_e5,A,B-dominant,conflict-like,high,0.06
2,0.30222222222222217,s1_e5_gpt54mini_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_e5_gemini_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s2_e1_qwen_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s2_e1_gpt54mini_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s2_e1_gemini_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s2_e2_qwen_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s2_e2_gpt54mini_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s2_e2_gemini_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s4_e2_qwen_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s4_e2_gpt54mini_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s4_e2_gemini_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_g4_qwen_001,s1_g4,A,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_g4_gpt54mini_001,s1_g4,A,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,s1_g4_gemini_001,s1_g4,A,A-dominant,conflict-like,high,1.0
2,0.30222222222222217,e2_g1_qwen_001,e2_g1,A,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,e2_g1_gpt54mini_001,e2_g1,A,B-dominant,conflict-like,high,0.06
2,0.30222222222222217,e2_g1_gemini_001,e2_g1,A,Both,conflict-like,high,0.6599999999999999
2,0.30222222222222217,g1_h4_qwen_001,g1_h4,B,A-dominant,conflict-like,high,0.06
2,0.30222222222222217,g1_h4_gpt54mini_001,g1_h4,B,Underdetermined,indifference-like,high,0.31
2,0.30222222222222217,g1_h4_gemini_001,g1_h4,B,A-dominant,conflict-like,high,0.06
3,0.30222222222222217,s1_e1_qwen_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_e1_gpt54mini_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_e1_gemini_001,s1_e1,B,A-dominant,conflict-like,high,0.06
3,0.30222222222222217,s1_e4_qwen_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_e4_gpt54mini_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_e4_gemini_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_e5_qwen_001,s1_e5,A,B-dominant,conflict-like,high,0.06
3,0.30222222222222217,s1_e5_gpt54mini_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_e5_gemini_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s2_e1_qwen_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s2_e1_gpt54mini_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s2_e1_gemini_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s2_e2_qwen_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s2_e2_gpt54mini_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s2_e2_gemini_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s4_e2_qwen_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s4_e2_gpt54mini_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s4_e2_gemini_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_g4_qwen_001,s1_g4,A,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_g4_gpt54mini_001,s1_g4,A,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,s1_g4_gemini_001,s1_g4,A,A-dominant,conflict-like,high,1.0
3,0.30222222222222217,e2_g1_qwen_001,e2_g1,A,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,e2_g1_gpt54mini_001,e2_g1,A,B-dominant,conflict-like,high,0.06
3,0.30222222222222217,e2_g1_gemini_001,e2_g1,A,Both,conflict-like,high,0.6599999999999999
3,0.30222222222222217,g1_h4_qwen_001,g1_h4,B,A-dominant,conflict-like,high,0.06
3,0.30222222222222217,g1_h4_gpt54mini_001,g1_h4,B,Underdetermined,indifference-like,high,0.31
3,0.30222222222222217,g1_h4_gemini_001,g1_h4,B,A-dominant,conflict-like,high,0.06
4,0.30222222222222217,s1_e1_qwen_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_e1_gpt54mini_001,s1_e1,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_e1_gemini_001,s1_e1,B,A-dominant,conflict-like,high,0.06
4,0.30222222222222217,s1_e4_qwen_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_e4_gpt54mini_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_e4_gemini_001,s1_e4,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_e5_qwen_001,s1_e5,A,B-dominant,conflict-like,high,0.06
4,0.30222222222222217,s1_e5_gpt54mini_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_e5_gemini_001,s1_e5,A,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s2_e1_qwen_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s2_e1_gpt54mini_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s2_e1_gemini_001,s2_e1,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s2_e2_qwen_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s2_e2_gpt54mini_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s2_e2_gemini_001,s2_e2,B,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s4_e2_qwen_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s4_e2_gpt54mini_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s4_e2_gemini_001,s4_e2,A,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_g4_qwen_001,s1_g4,A,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_g4_gpt54mini_001,s1_g4,A,Underdetermined,indifference-like,high,0.31
4,0.30222222222222217,s1_g4_gemini_001,s1_g4,A,A-dominant,conflict-like,high,1.0
4,0.30222222222222217,e2_g1_qwen_001,e2_g1,A,Underdetermined,indifference-like,high,0.31
